,i_word,word,prob
0,84,0,0.3142565361643559
1,86,71,0.1658792483153265
2,80,43,0.061646451852194355
3,85,123,0.04493442899045187
4,59,37,0.04275912188083585
5,92,101,0.039675992109560305
6,25,14,0.0358241334595248
7,81,16,0.03189481476272457
8,96,82,0.02913261305348277
9,73,107,0.025544505303129492
10,95,8,0.023583480837002888
11,72,25,0.02279525872435141
12,91,23,0.021647866723203263
13,83,12,0.021255310219334782
14,87,77,0.02087788209780553
15,97,20,0.02071248002187378
16,88,62,0.019352165970319704
17,34,48,0.017072640499804777
18,40,35,0.013354938737749199
19,90,61,0.012549708855132373
20,99,72,0.01074071807267013
21,5,1,0.0013737464975185764
22,60,24,0.0013197970663824659
23,23,38,0.0003627189015886106
24,39,33,0.00019856933056345544
25,48,55,0.00011453054696758807
26,79,59,7.748552528053578e-05
27,54,60,6.85090989743786e-05
28,82,52,6.449667737633799e-05
29,11,109,6.121387363430097e-05
30,102,120,5.377378084597572e-05
31,107,28,4.6948857113014215e-05
32,93,73,4.510970894360159e-05
33,89,118,4.256455734121449e-05
34,61,75,3.2221011477276515e-05
35,100,19,2.8361026657844187e-05
36,24,13,2.6089513759460603e-05
37,33,119,2.4294386669639654e-05
38,112,29,2.2686140595538378e-05
39,6,6,1.6258052255585634e-05
40,22,100,1.3943201727892161e-05
41,13,58,1.3725018792629565e-05
42,21,98,1.2797418018038713e-05
43,26,4,1.2427325302624442e-05
44,119,51,1.2142847651117217e-05
45,108,11,1.1860004120168816e-05
46,113,79,1.093707342019089e-05
47,7,90,1.0683550475743111e-05
48,78,36,7.608451335347926e-06
49,12,15,6.871470653176429e-06
50,103,103,6.8235529816473345e-06
51,38,97,6.7925031112576705e-06
52,65,26,6.771372923147263e-06
53,8,34,6.677809400595984e-06
54,109,87,6.435129502529481e-06
55,19,91,6.27081441393889e-06
56,71,66,6.236122951821242e-06
57,114,31,6.0731443574896945e-06
58,58,3,6.0675435489362974e-06
59,123,111,6.01981552430867e-06
60,77,50,6.015457244031017e-06
61,76,96,6.011701383633041e-06
62,20,94,5.98209460620432e-06
63,47,2,5.705922083358919e-06
64,41,81,5.6144264684205085e-06
65,110,46,5.555298976451123e-06
66,18,67,5.5110207684725e-06
67,74,39,5.4936089656772795e-06
68,9,47,5.464832876580414e-06
69,49,74,5.454742918802529e-06
70,32,93,5.450782380358993e-06
71,57,10,5.437114906173262e-06
72,124,41,5.4350456983046015e-06
73,75,85,5.433298544998537e-06
74,50,9,5.420670916564057e-06
75,37,76,5.417435762956987e-06
76,122,105,5.415113358875888e-06
77,63,116,5.411761925088443e-06
78,31,124,5.410508808609456e-06
79,35,115,5.4096363491869345e-06
80,3,83,5.408357904209419e-06
81,62,95,5.403558196814726e-06
82,29,86,5.402672898139588e-06
83,51,69,5.401062091200559e-06
84,4,122,5.395815467534953e-06
85,0,49,5.390742224451995e-06
86,101,102,5.389016584365848e-06
87,69,32,5.3889881955540045e-06
88,117,30,5.38562970500179e-06
89,15,112,5.385501714882681e-06
90,2,45,5.383939958124232e-06
91,104,65,5.382910132505089e-06
92,118,114,5.382908789212265e-06
93,120,63,5.382604054680569e-06
94,55,18,5.382177931104137e-06
95,53,17,5.381043846843392e-06
96,28,64,5.380955777197593e-06
97,106,99,5.380565736453211e-06
98,64,78,5.379862255855432e-06
99,52,56,5.37907871123861e-06
100,10,88,5.37882582149321e-06
101,44,80,5.3778499821538295e-06
102,17,89,5.3778379483171855e-06
103,121,57,5.3777465604534545e-06
104,43,70,5.376899935102811e-06
105,105,53,5.376779096320884e-06
106,42,7,5.376110662674543e-06
107,116,117,5.3750715479694985e-06
108,30,27,5.3749278540106536e-06
109,98,68,5.374648516237548e-06
110,56,92,5.374486922624103e-06
111,46,5,5.3738227869685334e-06
112,1,110,5.373792286879211e-06
113,115,121,5.373554376575026e-06
114,36,44,5.373184505828471e-06
115,68,106,5.3728439869850245e-06
116,67,54,5.37225870143607e-06
117,94,40,5.372065979559086e-06
118,111,113,5.371932360678526e-06
119,16,84,5.371053311899225e-06
120,45,22,5.370905427219754e-06
121,14,104,5.370848292717779e-06
122,66,21,5.370672124306729e-06
123,70,42,5.369456896225114e-06
124,27,108,5.369182004863696e-06
