,time (JST),latitude [deg],longitude [deg],GPS quality,SOG [knot],COG [deg],psi (raw) [deg],psi (original) [deg],r [deg/m],t (original) [s],p_x (original) [m],p_y (original) [m],COG [rad],psi (original) [rad],r [deg/s],r [rad/s],U [m/s],beta [rad],beta [deg],u [m/s],vm [m/s],code,t [s],p_x [m],p_y [m],psi [rad],psi [deg]
1,08:58:43,34.94488809,136.64227773,4,0.01,63.02,127.129,217.129,-0.2,0.0,-1510.9708680001377,-9394.769499345548,1.0999064946068264,3.789615951562768,-0.0033333333333333,-5.817764173314432e-05,0.0051444444444444,2.689709456955941,154.109,-0.0046280779353495,-0.002246375584426,0.0,0.0,0.0,0.0,0.0,0.0
2,08:58:44,34.9448881,136.64227779,4,0.01,65.03,127.135,217.135,-0.1,1.0,-1510.9697568000536,-9394.76403409428,1.1349876125719125,3.789720671317888,-0.0016666666666666,-2.908882086657216e-05,0.0051444444444444,2.654733058745975,152.10500000000002,-0.004546693239815,-0.0024068421686922,0.0,1.0,-0.004184825037681528,-0.003686594153744594,0.00010471975511983089,0.006000000000009805
3,08:58:45,34.94488814,136.64227766,4,0.01,50.87,127.134,217.134,-0.1,2.0,-1510.9653119996865,-9394.775871932608,0.8878489904895154,3.789703218025368,-0.0016666666666666,-2.908882086657216e-05,0.0051444444444444,2.901854227535852,166.264,-0.0049973139426175,-0.0012215408306296,0.0,2.0,-0.0005831122958349943,0.008434393096554001,8.726646259971105e-05,0.004999999999999689
4,08:58:46,34.94488816,136.64227766,4,0.01,38.89,127.137,217.137,-0.1,3.0,-1510.9630896002834,-9394.77587078036,0.6787585461005947,3.7897555779029273,-0.0016666666666666,-2.908882086657216e-05,0.0051444444444444,3.110997031802333,178.247,-0.0051420367954372,-0.0001573729212564,0.0,3.0,-0.00235567910338562,0.009774940502377406,0.0001396263401591824,0.007999999999979147
5,08:58:47,34.94488813,136.64227769,4,0.01,39.33,127.146,217.146,0.1,4.0,-1510.9664231997613,-9394.773140168514,0.6864379948093697,3.789912657535607,0.0016666666666666,2.908882086657216e-05,0.0051444444444444,3.103474662726237,177.816,-0.0051407075063506,-0.0001960484025075,0.0,4.0,-0.0013461008562013414,0.0055856830148298155,0.00029670597283892874,0.016999999999993853
6,08:58:48,34.9448881,136.64227768,4,0.0,43.66,127.145,217.145,0.0,5.0,-1510.9697568000456,-9394.774052661847,0.7620107514207243,3.789895204243087,0.0,0.0,0.0,3.0278844528223625,173.485,-0.0,-0.0,0.0,5.0,0.0018624985947561011,0.004300994530384824,0.0002792526803188089,0.01599999999998374
7,08:58:49,34.94488807,136.64227768,4,0.0,44.16,127.142,217.142,-0.2,6.0,-1510.9730904003295,-9394.77405437385,0.7707373976806958,3.789842844365527,-0.0033333333333333,-5.817764173314432e-05,0.0,3.019105446684831,172.982,-0.0,-0.0,0.0,6.0,0.004521339865172497,0.0022901596583810805,0.00022689280275889345,0.012999999999978836
8,08:58:50,34.94488804,136.64227767,4,0.0,62.71,127.146,217.146,-0.1,7.0,-1510.9764239998162,-9394.774966886323,1.094495973925644,3.789912657535607,-0.0016666666666666,-2.908882086657216e-05,0.0,2.6954166836099622,154.43599999999998,-0.0,-0.0,0.0,7.0,0.007729950234065008,0.0010054869162807638,0.00029670597283892874,0.016999999999993853
9,08:58:51,34.94488805,136.64227768,4,0.0,64.37,127.155,217.155,-0.0,8.0,-1510.9753127997155,-9394.774055521782,1.12346843950875,3.7900697371682863,-0.0,-0.0,0.0,2.666601297659536,152.785,-0.0,-0.0,0.0,8.0,0.006293904054758611,0.0009496088228790195,0.000453785605518231,0.025999999999983116
10,08:58:52,34.94488807,136.6422777,4,0.0,72.71,127.163,217.163,0.1,9.0,-1510.97309040033,-9394.772232817331,1.2690288991250769,3.790209363508446,0.0016666666666666,2.908882086657216e-05,0.0,2.5211804643833693,144.45300000000003,-0.0,-0.0,0.0,9.0,0.0034218272140974755,0.0008378717813547825,0.0005934119456778575,0.03399999999998771
11,08:58:53,34.9448881,136.64227773,4,0.0,82.3,127.164,217.164,0.1,10.0,-1510.9697568000456,-9394.76949876912,1.436405974391333,3.7902268168009656,0.0016666666666666,2.908882086657216e-05,0.0,2.3538208424096325,134.864,-0.0,-0.0,0.0,10.0,-0.0008862838990327855,0.0006702736957152622,0.0006108652381975332,0.03499999999997238
12,08:58:54,34.94488808,136.64227775,4,0.0,70.96,127.159,217.159,-0.0,11.0,-1510.9719792002293,-9394.767678367083,1.2384856372151762,3.790139550338366,-0.0,-0.0,0.0,2.551653913123189,146.19899999999998,-0.0,-0.0,0.0,11.0,-0.00021322777228629814,-0.0021225602771272126,0.0005235987755978222,0.02999999999997269
13,08:58:55,34.94488812,136.6422777,4,0.0,68.37,127.152,217.152,-0.2,12.0,-1510.9675343998615,-9394.77222996964,1.1932816095885233,3.7900173772907264,-0.0033333333333333,-5.817764173314432e-05,0.0,2.596735767702203,148.78199999999998,-0.0,-0.0,0.0,12.0,-0.0010095714921712058,0.00418926773243972,0.00040142572795831555,0.022999999999978215
14,08:58:56,34.94488808,136.64227768,4,0.0,62.97,127.154,217.154,-0.0,13.0,-1510.9719792002295,-9394.774053818946,1.099033829980829,3.790052283875766,-0.0,-0.0,0.0,2.691018453894937,154.184,-0.0,-0.0,0.0,13.0,0.003635068953090368,0.0029604505210539572,0.00043633231299811115,0.024999999999973002
15,08:58:57,34.9448881,136.64227771,4,0.0,71.12,127.148,217.148,-0.2,14.0,-1510.9697568000456,-9394.771320325706,1.2412781640183672,3.789947564120647,-0.0033333333333333,-5.817764173314432e-05,0.0,2.54866940010228,146.028,-0.0,-0.0,0.0,14.0,0.0002132287941273947,0.0021225616275762343,0.00033161255787872435,0.01899999999998864
16,08:58:58,34.94488808,136.64227768,4,0.0,67.79,127.142,217.142,-0.2,15.0,-1510.9719792002295,-9394.774053818946,1.183158699926956,3.789842844365527,-0.0033333333333333,-5.817764173314432e-05,0.0,2.606684144438571,149.352,-0.0,-0.0,0.0,15.0,0.003635068953090368,0.0029604505210539572,0.00022689280275889345,0.012999999999978836
17,08:58:59,34.94488807,136.64227771,4,0.0,68.68,127.144,217.144,-0.1,16.0,-1510.9730904003295,-9394.771322037786,1.1986921302697056,3.7898777509505672,-0.0016666666666666,-2.908882086657216e-05,0.0,2.5911856206808617,148.46400000000003,-0.0,-0.0,0.0,16.0,0.0028720701117562046,0.00011172681793286134,0.00026179938779913314,0.014999999999999066
18,08:59:00,34.94488809,136.64227772,4,0.0,68.07,127.144,217.144,-0.1,17.0,-1510.9708680001374,-9394.770410122504,1.18804562183254,3.7898777509505672,-0.0016666666666666,-2.908882086657216e-05,0.0,2.601832129118028,149.07400000000004,-0.0,-0.0,0.0,17.0,0.000549755539395923,0.0007261429001404701,0.00026179938779913314,0.014999999999999066
19,08:59:01,34.94488811,136.6422777,4,0.0,56.92,127.144,217.144,-0.0,18.0,-1510.968645599962,-9394.772230528866,0.9934414102351724,3.7898777509505672,-0.0,-0.0,0.0,2.796436340715395,160.22400000000002,-0.0,-0.0,0.0,18.0,-0.00012329796986819993,0.003518980316715617,0.00026179938779913314,0.014999999999999066
20,08:59:02,34.94488811,136.64227767,4,0.0,34.94,127.133,217.133,-0.2,19.0,-1510.9686455999536,-9394.77496286504,0.6098180406468187,3.789685764732848,-0.0033333333333333,-5.817764173314432e-05,0.0,-3.103317583093557,-177.80700000000002,-0.0,0.0,0.0,19.0,0.0015259718438164769,0.0056974132507066275,6.981317008003529e-05,0.004000000000015018
21,08:59:03,34.94488812,136.64227763,4,0.0,16.22,127.132,217.132,-0.1,20.0,-1510.9675343998615,-9394.778605421488,0.2830924046734802,3.789668311440328,-0.0016666666666666,-2.908882086657216e-05,0.0,-2.7766094004127395,-159.08800000000002,-0.0,0.0,0.0,20.0,0.002838725224240475,0.009272278519156206,5.2359877559915446e-05,0.0030000000000049024
22,08:59:04,34.94488808,136.64227767,4,0.0,31.9,127.142,217.142,0.2,21.0,-1510.9719792002295,-9394.774964598526,0.5567600313861911,3.789842844365527,0.0033333333333333,5.817764173314432e-05,0.0,-3.050102494200251,-174.75800000000004,-0.0,0.0,0.0,21.0,0.0041848260759303774,0.0036865955123049515,0.00022689280275889345,0.012999999999978836
